ID,location,PropertyType,BHK,price
40947057,Mansarovar Extension,residential house,2.0,11000
27765143,Jagatpura,apartment,3.0,15000
41030641,Greater Vidhyadhar Nagar,apartment,3.0,18000
41654911,Model Town,builder floor apartment,2.0,15000
41861443,Chitrakoot,residential house,2.0,10000
28932333,Sanganer Road,apartment,3.0,16000
40549915,Jhotwara,residential house,2.0,10000
42346827,New Sanganer Road,apartment,3.0,14000
42787095,Civil Lines,builder floor apartment,2.0,9500
37957155,Niwaru Road,residential house,2.0,8500
42930591,Mansarovar Extension,residential house,3.0,10000
42779921,Vidyadhar Nagar,apartment,3.0,15000
41996629,Pratap Nagar,apartment,2.0,15000
39850927,Bapu Nagar,apartment,3.0,30000
42486995,Ram Nagar,residential house,2.0,15000
42650321,Meenawala,residential house,1.0,5000
42104029,C-Scheme,residential house,6.0,170000
31298293,Mahesh Nagar,apartment,3.0,18000
42507195,Malviya Nagar,builder floor apartment,2.0,12500
42684591,Vidyut Nagar,builder floor apartment,3.0,18500
